Altium Designer Pick and Place Locations
C:\Users\Dante Sivo\Documents\GitHub\Fletcher-v2.0-\Altium\Project Outputs\Fabrication\Pick Place\_PCB PN_.txt

========================================================================================================================
File Design Information:

Date:       15/07/22
Time:       19:15
Revision:   b5abe040aba65d051adfea25286a6d2ee5eceb2d
Variant:    No variations
Units used: mil

Designator Comment                           Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                              
SW2        TS-1109                           TopLayer BEST-TS-1109_V                  1700.000      2400.000      270      "Tactile Switch, SPST, 12 V, 50 mA, -20 to 80 degC, 4-Pin THD"                                                                           
SW1        TS-1109                           TopLayer BEST-TS-1109_V                  1962.410      1492.361      180      "Tactile Switch, SPST, 12 V, 50 mA, -20 to 80 degC, 4-Pin THD"                                                                           
Q2         SS8050-G                          TopLayer SS8050-G-Footprint-1            2068.788      2942.756      270      "Trans Gp Bjt NPN 25V 1.5A 300MW 3-PIN SOT-23 T/r"                                                                                       
C2         GRM155R71E104KE14D                TopLayer Capacitor_0402                  1540.000      2260.000      90       "Chip Capacitor 100nF 0402 25V X7R"                                                                                                      
C1         GRM155R71E104KE14D                TopLayer Capacitor_0402                  1750.000      1600.315      90       "Chip Capacitor 100nF 0402 25V X7R"                                                                                                      
J1         PPPC102LFBN-RC                    TopLayer SLIN-PPPC102LFBN-RC_V           395.000       1332.000      270      "Female Header, Pitch 2.54 mm, 2 x 10 Position, Height 8.75 mm, Tail Length 3.2 mm, -40 to 105 degC, RoHS, Bulk"                         
R28        "Jumper 0402"                     TopLayer RESC0402(1005)_L                1123.000      1294.000      0        "Jumper 0402"                                                                                                                            
R27        "Jumper 0402"                     TopLayer RESC0402(1005)_L                910.000       1360.000      0        "Jumper 0402"                                                                                                                            
R20        "Resistor 10K  +/-1 % 0402 63 mW" TopLayer RESC0402(1005)_L                675.000       556.672       90       "Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"                                                                          
R7         33R2J                             TopLayer RESC0402(1005)_L                1775.000      3000.000      90       "33R 0.063W 5% 0402 (1005 Metric)  SMD"                                                                                                  
R6         33R2J                             TopLayer RESC0402(1005)_L                1812.497      3000.000      90       "33R 0.063W 5% 0402 (1005 Metric)  SMD"                                                                                                  
J3         U.FL-R-SMT-1(80)                  TopLayer FP-U_FL-R-SMT-1_80-MFG          1354.980      566.929       90       "CONN U.FL RCPT STR 50 OHM SMD"                                                                                                          
F2         0466001.NRHF                      TopLayer FP-0466-MFG                     812.500       3075.000      180      "Fuse Chip Very Fast Acting 1A 63V SMD Solder Pad 1206 T/R CSA"                                                                          
C20        T491D227K010AT                    TopLayer CASE-D_7343                     260.000       3063.110      90       "Cap Tant Solid 220uF 10V D CASE 10% (7.3 X 4.3 X 2.8mm) SMD 7343-31 0.5 Ohm 125 C T/R"                                                  
U1         ESP32-WROOM-32D                   TopLayer ESP32-WROOM-32D-Footprint-1     1064.999      1880.401      0        "Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount" 
P1         77311-462K05LF                    TopLayer FCI-77311-5_V                   1395.000      2665.000      0        "Male Header, Pitch 2.54 mm, 1 x 5 Position, Height 16.24 mm, Tail Length 3.05 mm, -65 to 125 degC, RoHS, Tape and Reel"                 
D5         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V                766.260       324.389       0        "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                                                      
D6         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V                969.409       324.389       180      "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                                                      
C8         GRM155R71E104KE14D                TopLayer Capacitor_0402                  1627.944      2825.327      90       "Chip Capacitor 100nF 0402 25V X7R"                                                                                                      
R4         5D6KR2J                           TopLayer RESC0402(1005)_L                1915.796      3200.433      0        "5K6 0.063W 5% 0402 (1005 Metric)  SMD"                                                                                                  
D2         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V                1891.214      3130.000      180      "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                                                      
D4         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V                590.000       184.389       0        "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                                                      
D1         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V                889.960       2745.000      90       "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                                                      
D3         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V                1696.284      3130.000      0        "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                                                      
U7         AP7361-33E-13                     TopLayer AP7361-33E-13                   460.000       2525.315      0        "AP7361 Series 3.3 V 1 A Low SMT Dropout Fixed-Mode Regulator - SOT-223"                                                                 
U6         NEO-M8M-0                         TopLayer NEO-M8M-0-Footprint-1           950.000       899.389       90       "GPS RF Receiver BeiDou, Galileo, GLONASS, GNSS, GPS 1.575GHz -167dBm"                                                                   
U5         LIS331DLHTR                       TopLayer STM-LGA16-3X3X1                 1491.000      1395.000      90       "LIS331DLH Series 3 Axis ±2/±4/±8 g 3.6V Digital Output Nano Accelerometer LGA-16"                                                       
U4         MS561101BA03-50                   TopLayer MS561101BA03-50-Footprint-1     368.346       2254.606      180      "Pressure Sensor 1.44V to 3.6V 0.01bar to 1.2bar Absolute 8-Pin QFN T/R"                                                                 
U3         "W25N01GVZEIG TR"                 TopLayer W25N01GVZEIG_TR-Footprint-1     1846.841      1988.071      90       "1Gb NAND Flash Memory With dual/Quad SPI And Continuous Read"                                                                           
U2         CP2102N-A02-GQFN24R               TopLayer CP2102N-A02-GQFN24R-Footprint-1 1793.749      2872.874      270      "Full Speed USB to UART Bridge USB 2.0 3.3V T/R Automotive 24-Pin QFN EP"                                                                
TP1        TPAD6R                            TopLayer TP06R                           1080.000      184.389       90       "0.6mm round"                                                                                                                            
R30        53D6KR2F                          TopLayer RESC0402(1005)_L                1093.458      3008.071      270      "53K6 0.063W 1% 0402 (1005 Metric)  SMD"                                                                                                 
R29        "Resistor 10K  +/-1 % 0402 63 mW" TopLayer RESC0402(1005)_L                823.030       2784.370      270      "Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"                                                                          
