Altium Designer Pick and Place Locations
C:\Users\Dante Sivo\Documents\GitHub\Fletcher-v2.0-\Main Board\Project Outputs\Fabrication\Pick Place\_PCB PN_.txt

========================================================================================================================
File Design Information:

Date:       20/07/22
Time:       00:21
Revision:   f86913e36e665e46e694b19f79c63633ccc88b37
Variant:    DNP
Units used: mm

Designator Comment                           Layer    Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                                        
C21        CL31A107MQHNNNE                   TopLayer Capacitor_1206         5.7780mm     65.0240mm    270      "Ceramic Capacitor 100uF 6.3V X5R 1206"                                                            
Q2         SS8050-G                          TopLayer SS8050-G-Footprint-1   56.5472mm    74.7460mm    270      "Trans Gp Bjt NPN 25V 1.5A 300MW 3-PIN SOT-23 T/r"                                                 
C2         GRM155R71E104KE14D                TopLayer Capacitor_0402         43.1160mm    57.4040mm    90       "Chip Capacitor 100nF 0402 25V X7R"                                                                
C1         GRM155R71E104KE14D                TopLayer Capacitor_0402         48.4500mm    40.6480mm    90       "Chip Capacitor 100nF 0402 25V X7R"                                                                
R7         33R2J                             TopLayer RESC0402(1005)_L       49.0850mm    76.2000mm    90       "33R 0.063W 5% 0402 (1005 Metric)  SMD"                                                            
R6         33R2J                             TopLayer RESC0402(1005)_L       50.0374mm    76.2000mm    90       "33R 0.063W 5% 0402 (1005 Metric)  SMD"                                                            
J3         U.FL-R-SMT-1(80)                  TopLayer FP-U_FL-R-SMT-1_80-MFG 38.4165mm    14.4000mm    90       "CONN U.FL RCPT STR 50 OHM SMD"                                                                    
F2         0466001.NRHF                      TopLayer FP-0466-MFG            24.6375mm    78.1050mm    180      "Fuse Chip Very Fast Acting 1A 63V SMD Solder Pad 1206 T/R CSA"                                    
C20        T491D227K010AT                    TopLayer CASE-D_7343            10.6040mm    77.8030mm    90       "Cap Tant Solid 220uF 10V D CASE 10% (7.3 X 4.3 X 2.8mm) SMD 7343-31 0.5 Ohm 125 C T/R"            
D5         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V       23.4630mm    8.2395mm     0        "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                
D6         CESD5V0D1                         TopLayer JSCJ-SOD-123-2_V       28.6230mm    8.2395mm     180      "Uni-driection ESD Protection Diode, 5 V, 1 uA, 2-Pin SOD-123, RoHS, Tape and Reel"                
C8         GRM155R71E104KE14D                TopLayer Capacitor_0402         45.3498mm    71.7633mm    90       "Chip Capacitor 100nF 0402 25V X7R"                                                                
